"","PN01728AM"
"","Producto bruto interno y demanda interna (variación porcentual interanual) - PBI"
Ene95,12.4792828045723
Feb95,10.3162756204951
Mar95,4.51074024810327
Abr95,6.79815831460812
May95,11.9764825846311
Jun95,6.83504658901193
Jul95,9.81495943830914
Ago95,9.42414208481387
Sep95,5.27611621636103
Oct95,5.34872950221111
Nov95,3.81520927021576
Dic95,2.92717687002207
Ene96,-0.182043592055227
Feb96,3.52873743744615
Mar96,0.584942590596318
Abr96,3.22824232564962
May96,1.29904597876838
Jun96,2.66398258590526
Jul96,4.02294541302194
Ago96,0.912350267378211
Sep96,2.87427000806091
Oct96,1.63564905024729
Nov96,3.93556404444855
Dic96,9.00439658998432
Ene97,7.10924873037153
Feb97,4.62975602968886
Mar97,3.77354127865718
Abr97,12.2744093211306
May97,6.3095268114144
Jun97,6.3717146931652
Jul97,3.48097513718577
Ago97,5.73452273452561
Sep97,10.3536372434126
Oct97,9.28085979361903
Nov97,3.66062092360627
Dic97,5.13229013827763
Ene98,-2.26578182933753
Feb98,3.47689729601841
Mar98,5.66948899675116
Abr98,-2.94633433831599
May98,-5.15018258560216
Jun98,-0.933274675042043
Jul98,0.297529601129704
Ago98,1.72595300864607
Sep98,-0.68616141792882
Oct98,-2.75955875316296
Nov98,1.16316833907971
Dic98,-1.01793702409588
Ene99,0.370480455815847
Feb99,-1.46171257416609
Mar99,-0.478902724295425
Abr99,-1.5146657747153
May99,3.85965487535404
Jun99,3.33816044066014
Jul99,0.154490799617949
Ago99,-2.68236906303218
Sep99,0.740738379077268
Oct99,5.63617796031233
Nov99,4.96372575830578
Dic99,4.73064951642235
Ene00,3.75677370196672
Feb00,2.89461660002516
Mar00,13.4510542874332
Abr00,2.50377763621023
May00,7.37448123432102
Jun00,4.76612295073009
Jul00,6.27842254715333
Ago00,4.39462981506593
Sep00,-2.77767372871108
Oct00,-0.846712035956808
Nov00,-0.385992750196634
Dic00,-7.90794890988344
Ene01,-2.09488353330474
Feb01,-5.07041620148713
Mar01,-8.44735868838563
Abr01,4.02399163020914
May01,0.322889037801661
Jun01,-3.14887856910236
Jul01,0.98794495075174
Ago01,2.80501873214621
Sep01,4.68498841281133
Oct01,6.12030486694766
Nov01,1.55791823577201
Dic01,6.66187326461776
Ene02,8.99192042961947
Feb02,6.51312555729314
Mar02,4.1824530947925
Abr02,8.60678744991344
May02,5.68868106700434
Jun02,5.68843199251339
Jul02,3.34523681957725
Ago02,3.15010300916329
Sep02,5.8292571246685
Oct02,2.07308556328008
Nov02,7.47399371100049
Dic02,4.4870581638356
Ene03,4.08905712794115
Feb03,7.47302235331535
Mar03,5.47730095429718
Abr03,4.558011406493
May03,2.98085845580889
Jun03,6.51040740873586
Jul03,3.51413363554078
Ago03,3.39205583253107
Sep03,4.13998329360011
Oct03,4.82870440318846
Nov03,1.39598317749424
Dic03,2.14332981312227
Ene04,3.67496599637412
Feb04,4.24595911891129
Mar04,5.77425697433643
Abr04,4.24799534215177
May04,3.95075685370211
Jun04,3.00998259699102
Jul04,3.66095616538795
Ago04,4.45023506212127
Sep04,4.78524711339773
Oct04,2.6205800566763
Nov04,9.457171900743
Dic04,9.79438004053065
Ene05,5.35597311641661
Feb05,8.14741281752654
Mar05,3.51107490542298
Abr05,3.54241464164085
May05,6.50889811528315
Jun05,6.20539280505837
Jul05,6.29649721858796
Ago05,7.06300307201129
Sep05,6.05312105189148
Oct05,6.49266528282108
Nov05,9.39989740117384
Dic05,6.8833669870526
Ene06,7.10170164430077
Feb06,5.60815182888311
Mar06,12.0795001803328
Abr06,5.40297358027552
May06,6.09980733591271
Jun06,7.48071786155007
Jul06,6.51377282433505
Ago06,10.3209217546199
Sep06,8.1394039741372
Oct06,8.70194068649599
Nov06,4.74313280864557
Dic06,8.59943457160922
Ene07,5.01233655233036
Feb07,4.77330813006784
Mar07,6.0208489404819
Abr07,5.29366168999817
May07,7.14467706791587
Jun07,6.50203034145143
Jul07,10.3091374365128
Ago07,9.3647839348103
Sep07,12.9223585501849
Oct07,11.8993941829424
Nov07,9.82437916732973
Dic07,12.5093793181063
Ene08,9.51604461254277
Feb08,13.5432378002286
Mar08,7.61629374023358
Abr08,14.0844029880919
May08,7.00609374803973
Jun08,10.7900022961739
Jul08,9.5138367479848
Ago08,8.75006682196071
Sep08,10.4751356050106
Oct08,8.24416629137174
Nov08,6.30875092447609
Dic08,5.02446057766676
Ene09,4.51249493517268
Feb09,0.354672729697729
Mar09,2.94433749918005
Abr09,-1.26529496748405
May09,1.91612426561661
Jun09,-2.85850364942411
Jul09,-1.39073716717304
Ago09,0.885386615421027
Sep09,0.238372752604143
Oct09,1.26402780914988
Nov09,2.66528973343221
Dic09,4.17925428151408
Ene10,3.29049205469019
Feb10,5.27441885153679
Mar10,8.28201876025215
Abr10,8.07398031611125
May10,7.5880224609819
Jun10,12.845479901679
Jul10,9.89142271054664
Ago10,8.6639020097772
Sep10,9.96463710884029
Oct10,9.29859562528957
Nov10,8.67688179804398
Dic10,7.61150461803638
Ene11,9.56525678098117
Feb11,8.05783062816841
Mar11,7.68532243598764
Abr11,7.42563488842655
May11,5.54189993775865
Jun11,2.98103131606273
Jul11,6.06507053677045
Ago11,6.48080840765531
Sep11,4.90474354880768
Oct11,4.45651581325505
Nov11,4.74224969021391
Dic11,8.66692142905469
Ene12,5.45157656120245
Feb12,7.05454218784257
Mar12,5.85691316374133
Abr12,3.19711849837662
May12,6.91711646796193
Jun12,7.53631288857865
Jul12,7.25261754336184
Ago12,7.06201511835326
Sep12,6.74548019154059
Oct12,7.41634145591978
Nov12,6.06180052458251
Dic12,3.42502070773886
Ene13,6.45524700860958
Feb13,5.0861280574219
Mar13,3.5064536066658
Abr13,8.82067150470254
May13,4.26285716421118
Jun13,5.8548003750853
Jul13,5.31159859188875
Ago13,5.50543308658204
Sep13,4.86322588723581
Oct13,6.20857513511873
Nov13,7.28242544418635
Dic13,7.03299822543483
Ene14,4.22778213707928
Feb14,5.20778875371818
Mar14,5.41175050657299
Abr14,2.92276972402434
May14,2.59010248818818
Jun14,0.377809386320463
Jul14,1.44969701188336
Ago14,1.35321229346985
Sep14,2.67337278199362
Oct14,2.27379958149321
Nov14,0.157934242118637
Dic14,0.794859633218993
Ene15,1.56136358915759
Feb15,1.23388126064694
Mar15,2.93665474858285
